bez,lor_ab_2021,umonat,ustunde,uwochentag,ukategorie,uart,utyp1,ulichtverh,istrad,istpkw,istfuss,istkrad,istgkfz,istsonstige,ustrzustand,xgcswgs84,ygcswgs84,all_acc,perc_bike_acc,rushhours
4,4200311.0,1,19,1,3,5,3,2,0,1,0,0,1,0,0,13.28097194,52.50247963,2,0.0,16 to 20
4,4400830.0,1,15,6,3,2,6,0,0,1,0,0,1,0,0,13.3041698,52.48481229,2,0.0,12 to 16
2,2500727.0,1,22,4,3,5,3,2,0,1,0,0,0,0,0,13.45376921,52.51582173,1,0.0,20 to 24
4,4300621.0,1,15,7,3,5,7,0,0,1,0,0,0,0,0,13.3055724,52.51161677,1,0.0,12 to 16
4,4200311.0,1,18,5,3,3,6,0,0,1,0,0,0,1,0,13.28276782,52.51015542,2,0.0,16 to 20
3,3200204.0,1,13,6,3,5,2,0,1,1,0,0,0,0,1,13.39058326,52.61854174,2,0.5,12 to 16
9,9100409.0,1,12,5,3,2,6,0,0,1,0,0,0,1,0,13.51196554,52.42816033,2,0.0,12 to 16
4,4100101.0,1,5,3,3,2,6,2,0,1,0,0,0,0,0,13.29376824,52.53755066,1,0.0,04 to 08
5,5400942.0,1,15,5,3,2,6,0,0,1,0,0,0,0,1,13.15177549,52.49758644,1,0.0,12 to 16
7,7400822.0,1,14,4,2,2,6,0,0,1,0,0,0,0,0,13.36656709,52.47224193,1,0.0,12 to 16
7,7601341.0,1,7,6,3,5,3,2,1,1,0,0,0,0,1,13.35664989,52.40563733,2,0.5,04 to 08
4,4200311.0,1,11,6,3,2,6,0,0,1,0,0,0,0,0,13.2852335,52.51422561,1,0.0,08 to 12
3,3200206.0,1,17,5,3,2,6,1,0,1,0,0,0,0,0,13.40267503,52.58073554,1,0.0,16 to 20
4,4501148.0,1,16,4,3,3,6,2,0,1,0,0,1,0,0,13.31401653,52.47937611,2,0.0,16 to 20
7,7501030.0,1,5,3,3,5,2,2,0,1,0,0,0,0,1,13.38457459,52.45269491,1,0.0,04 to 08
4,4100101.0,1,6,3,3,2,6,2,0,1,0,0,0,0,0,13.29493447,52.5394255,1,0.0,04 to 08
7,7501030.0,1,10,3,2,5,3,0,0,1,0,0,0,0,0,13.38502877,52.44928169,1,0.0,08 to 12
11,11401032.0,1,9,4,3,5,3,0,1,1,0,0,0,0,0,13.50492813,52.51074273,2,0.5,08 to 12
9,9100202.0,1,7,3,3,5,3,1,1,1,0,0,0,0,1,13.46502433,52.48672236,2,0.5,04 to 08
4,4200308.0,1,18,1,3,2,6,2,0,1,0,0,0,0,0,13.28251145,52.52021565,1,0.0,16 to 20
5,5200633.0,1,16,5,3,3,6,2,0,0,0,1,0,1,0,13.18689744,52.5150694,2,0.0,16 to 20
6,6300526.0,1,16,6,2,6,2,2,0,1,1,0,0,0,1,13.26230773,52.43482496,2,0.0,16 to 20
9,9100203.0,1,18,2,3,5,3,2,0,1,0,0,0,0,0,13.47943026,52.48449525,1,0.0,16 to 20
9,9100203.0,1,12,2,3,5,3,0,1,1,0,0,0,0,0,13.47941806,52.48448944,2,0.5,12 to 16
10,10300733.0,1,12,6,2,5,2,0,0,1,0,0,0,0,0,13.56136496,52.50860475,1,0.0,12 to 16
1,1300836.0,1,10,5,3,3,6,0,0,1,0,0,1,0,0,13.36963169,52.54177478,2,0.0,08 to 12
5,5200528.0,1,0,1,3,5,2,2,1,1,0,0,0,0,0,13.17896627,52.51656757,2,0.5,00 to 04
1,1100310.0,2,0,7,3,5,2,2,0,1,0,0,0,0,0,13.41650018,52.52219145,1,0.0,00 to 04
1,1400940.0,1,22,5,3,0,1,2,0,0,0,1,0,0,1,13.36550618,52.55794822,1,0.0,20 to 24
7,7100206.0,1,11,5,3,2,6,0,0,1,0,0,0,0,0,13.36093162,52.49284138,1,0.0,08 to 12
6,6300629.0,1,22,6,3,1,7,2,1,1,0,0,0,0,0,13.28938045,52.44400008,2,0.5,20 to 24
2,2200207.0,1,18,4,3,2,6,2,0,1,0,0,0,0,0,13.37836475,52.49927984,1,0.0,16 to 20
7,7501133.0,1,20,5,3,5,3,2,0,1,0,0,0,0,1,13.3873192,52.4401743,1,0.0,20 to 24
7,7501029.0,1,6,6,3,6,2,2,0,1,1,0,0,0,1,13.38186602,52.43927037,2,0.0,04 to 08
10,10100206.0,1,18,4,3,5,2,2,0,1,0,0,0,0,1,13.55823167,52.56282336,1,0.0,16 to 20
3,3601451.0,1,7,4,2,5,3,2,1,0,0,0,0,1,1,13.43701537,52.53978795,2,0.5,04 to 08
1,1400940.0,1,17,1,3,5,3,2,1,1,0,0,0,0,0,13.36548411,52.55807714,2,0.5,16 to 20
12,12100205.0,1,14,5,3,2,6,0,0,1,0,0,0,0,1,13.34684894,52.57906894,1,0.0,12 to 16
4,4100101.0,1,10,4,3,5,3,0,0,1,0,0,1,0,0,13.2934365,52.53676681,2,0.0,08 to 12
